AccountId,AccountName,CloseDate,District,IsWon,ItemCategory,OpportunityId,OpportunityName,OpportunityOwner,"Opportunity_IsClosed",OwnerId,ProductCode,ProductFamily,Quantity,ResellerId,SalesOrder,SizeGb,StageName,SubDistrict,SubTheater,Theater,TotalPrice,UnitPrice,"_time"
0014000001ZhCpSAAV,HBX,"2015-03-20",Northeast,True,Subscription,0064000000eDTKLAA4,"HBX - One month Cloud","John Dolino",True,00540000001ELznAAG,"SE-S-CLD",Subscription,"5.0",,44955,"5.0","Closed Won (100%)","New England",Enterprise,AMER,"665.75","133.15","2015-03-20T00:00:00.000-0700"
0014000001VveubAAB,EventMobi,"2015-04-01","Central 2",True,Subscription,0064000000aQ0pqAAC,"EventMobi- 20GB cloud","Johanna Zaragoza",True,0054000000222nVAAQ,"SE-S-CLD",Subscription,"20.0",0014000000b0U9AAAU,45568,"20.0","Closed Won (100%)","Central Canada 2",Enterprise,AMER,"21000.0","1050.0","2015-04-01T00:00:00.000-0700"
0014000000m8FJnAAM,"Onbeep, Inc.","2014-09-30","Central West",True,Subscription,0064000000YRR0eAAH,"OnBeep - Cloud","Amy Stephens",True,00540000001DmN8AAK,"SCLD-5GB",,"1.0",,,"5.0","Closed Won (100%)","Central West",Territory,AMER,"8000.0","8000.0","2014-09-30T00:00:00.000-0700"
0014000001YU6weAAD,"TransLink Division of Department of Transport and Main Roads","2015-03-23",Australia,True,Subscription,0064000000d9S9oAAE,"TransLink Division of Department of Transport and Main Roads-20GB Splunk Cloud-App mngt","Rajiv Parashar",True,00540000001CB79AAG,"SE-S-CLD",Subscription,"20.0",0014000000gfKDFAA2,45585,"20.0","Closed Won (100%)",Queensland,ANZ,APAC,"22500.0","1125.0","2015-03-23T00:00:00.000-0700"
0014000000suwrdAAA,"City of Los Angeles","2015-03-20","State & Local",True,Subscription,0064000000aQRT3AAO,"City of LA SIEM Expansion","Kelcy Taylor",True,0054000000220EdAAI,"SE-S-CLD",Subscription,"50.0",0014000000KBxWAAA1,,"50.0","Closed Won (100%)","Southwest 2",SLED,"Public Sector","33000.0","660.0","2015-03-20T00:00:00.000-0700"
00140000011OB1VAAW,"IDEXX Laboratories, Inc.","2015-03-20",Northeast,True,Subscription,0064000000eBYPAAA4,"IDEXX Lab - 25GB Cloud 3 Year","John Dolino",True,00540000001ELznAAG,"SE-S-CLD",Subscription,"25.0",,,"25.0","Closed Won (100%)","New England",Enterprise,AMER,"75000.0","3000.0","2015-03-20T00:00:00.000-0700"
0014000000KBwzyAAD,"Take-Two Interactive Software, Inc.","2015-04-03",East,True,Subscription,0064000000bxCCQAA2,"1TB Cloud Expansion","Scott Jamison",True,00540000001RaQSAA0,"SE-S-CLD",Subscription,"1400.0",,,"1400.0","Closed Won (100%)",East,Territory,AMER,"770000.0","550.0","2015-04-03T00:00:00.000-0700"
0014000001Z1NgNAAV,"Toutapp Inc","2015-04-24","Central West",True,Subscription,0064000000dcr4NAAQ,"ToutApp, Inc. - 50GB Splunk Cloud","Amy Stephens",True,00540000001DmN8AAK,"SE-S-CLD",Subscription,"50.0",,,"50.0","Closed Won (100%)","Central West",Territory,AMER,"50000.0","1000.0","2015-04-24T00:00:00.000-0700"
0014000000PF7d2AAD,OpenDNS,"2015-03-24","Central West",True,Subscription,0064000000bGeNVAA0,"OpenDNS - Cloud","Amy Stephens",True,00540000001DmN8AAK,"SE-S-CLD",Subscription,"10.0",,,"10.0","Closed Won (100%)","Central West",Territory,AMER,"13800.0","1380.0","2015-03-24T00:00:00.000-0700"
00140000015ndCeAAI,Flydubai,"2014-08-28","Middle East",True,Subscription,0064000000XhEGeAAN,"Flydubai- 5gb","Zack Najim",True,0054000000217jaAAA,SCLD,Subscription,"1.0",,,"5.0","Closed Won (100%)",Territory,UK,EMEA,"12000.0","12000.0","2014-08-28T00:00:00.000-0700"
0014000000YqlkQAAR,"MindTouch Inc","2014-04-30","Central West",True,Subscription,0064000000Vus7oAAB,"MindTouch, Inc - Splunk Cloud - 7 & 10 GB /30 Day Retention","Jerry Lott",True,00540000001Dl8MAAS,SCLD,Subscription,"1.0",,,"10.0","Closed Won (100%)","Central West",Territory,AMER,"7059.0","7059.0","2014-04-30T00:00:00.000-0700"
0014000000stvUMAAY,Lyft,"2014-06-16","Central West",True,Subscription,0064000000Vw8MjAAJ,"Lyft - 50GB Cloud","Amy Stephens",True,00540000001DmN8AAK,SCLD,Subscription,"1.0",,,"50.0","Closed Won (100%)",West,Territory,AMER,"48000.0","48000.0","2014-06-16T00:00:00.000-0700"
0014000001b46WdAAI,Cratejoy,"2015-04-27","Central West",True,Subscription,0064000000eytajAAA,"Cratejoy - Cloud App-Delivery","Renee Murdia",True,00540000001zaPhAAI,"SE-S-CLD",Subscription,"5.0",0014000000KBxYOAA1,46734,"5.0","Closed Won (100%)","Central West",Territory,AMER,"7128.0","1425.6","2015-04-27T00:00:00.000-0700"
0014000000XLobEAAT,"Optimizely Inc.","2014-10-15",West,True,Subscription,0064000000WT7Y6AAL,"Optimizely Ops","Troy Solomon",True,00540000000oHA1AAM,SCLD,Subscription,"1.0",,,"25.0","Closed Won (100%)",NoCal,"Major Accounts",AMER,"32400.0","32400.0","2014-10-15T00:00:00.000-0700"
0014000000KBy0fAAD,"NIKE, Inc.","2014-10-24",West,True,Subscription,0064000000UhM06AAF,"Nike EAA","Corey Kincaid",True,00540000001E61mAAC,SCLD,Subscription,"1.0",,,"12000.0","Closed Won (100%)",Northwest,"Major Accounts",AMER,"2166666.67","2166666.67","2014-10-24T00:00:00.000-0700"
0014000000fxGLUAA2,"Point72 Asset Management, L.P.","2014-11-14",East,True,Subscription,0064000000VvSxmAAF,"Point 72 Asset Management-Splunk Cloud","Gary Sherman",True,0054000000222nGAAQ,SCLD,Subscription,"1.0",,,"75.0","Closed Won (100%)","New England","Major Accounts",AMER,"65000.0","65000.0","2014-11-14T00:00:00.000-0800"
0014000000LXeywAAD,InterMedia,"2014-10-31",West,True,Subscription,0064000000TZX9bAAH,"Intermedia - Security 500Gb Cloud","Rob Kutner",True,00540000001zSciAAE,SCLD,Subscription,"1.0",,,"500.0","Closed Won (100%)","NorCal 2","Major Accounts",AMER,"166000.0","166000.0","2014-10-31T00:00:00.000-0700"
